Year,RegionName,AveragePrice,12m%Change,SalesVolume,FlatPrice,Flat12m%Change,MortgagePrice,Mortgage12m%Change,FTBPrice,FTB12m%Change,FOOPrice,FOO12m%Change
2014,Bromley,347857.24826666666,17.144821143333335,514.0833333333334,235190.16860833333,16.958445117500002,350247.2973749999,17.134364755833335,277724.48894166667,17.47151307,394839.8608666667,16.950742776833334
2014,Camden,756486.4726166666,13.3233549275,231.66666666666666,682292.9459083333,13.488811575,765419.4600083334,13.318949577500002,644384.3189416667,13.619732514999997,877779.1305,13.060623405000001
2014,Croydon,274827.41510000004,17.155090503333337,500.8333333333333,204279.35177500002,16.989164874166665,276632.45910000004,17.15884408333333,233047.36822499998,17.416770266666667,323772.61007500003,16.933453625000002
2014,Ealing,400039.3317583333,18.26808162,291.8333333333333,323543.40633333335,18.10269773916667,398984.39930833335,18.301426744166665,354441.5981583333,18.5649685475,446812.0268083333,17.9997613825
2014,Enfield,294515.79323333333,12.520860183999998,325.3333333333333,216723.6496583333,12.485023730083334,298232.1897,12.553263312083331,259663.10962499995,12.885948883916667,330391.17879166664,12.239405486666667
2014,Greenwich,298351.4582083333,17.702045508333338,385.4166666666667,257456.26289166664,17.251543689999995,301057.71883333335,17.683486764166666,268102.29268333333,17.809692201666667,343253.98905833333,17.572065150000004
2014,Hackney,456388.4434583334,22.524105639166663,243.16666666666666,420096.598125,22.523355274166665,456401.3348916667,22.546873082499996,431989.63768333336,22.599560585833334,482056.05285833334,22.4402251825
2014,Hammersmith and Fulham,721099.8527,14.178176438333331,239.16666666666666,627498.165925,14.351353755,721864.8701333334,14.198378915833333,634811.8063916668,14.445951783333333,785731.195525,13.935526180833335
2014,Haringey,435807.73738333344,17.059178926666664,243.83333333333334,375059.00622499996,16.810613503333332,437814.1844666667,17.06171624083333,389686.878575,17.519614450833334,484921.2121083333,16.70006291416667
2014,Harrow,360795.8076,12.895210005833334,233.58333333333334,258314.83287499993,12.920940591166664,364372.49930833344,12.971335198833335,302796.56815833336,13.2493767235,403691.9911083333,12.660956510166665
2014,Havering,259267.27329166664,14.438368554666667,353.8333333333333,169740.15750833333,14.365415721166668,261236.24241666668,14.458705786083334,220668.97513333333,14.670418172416666,294597.9157,14.257066905500002
2014,Hillingdon,305781.9476,12.946439682416667,319.25,206957.78349166666,12.887923847083334,308233.59102500003,12.962134003583332,256842.86836666663,13.190409846583334,351972.47414999997,12.742547744583334
2014,Hounslow,324525.8537,11.633641634333335,277.9166666666667,261175.90573333335,11.39175871,324166.3305583334,11.768154232166667,292096.44267500006,11.867087004916668,369142.54216666665,11.376510155250001
2014,Islington,585171.3108083333,18.08095755916667,239.66666666666666,522272.30505,18.21429766416667,578730.2226583334,18.11212049166667,553745.1713916666,18.406695700833335,616254.8406416667,17.800903340833333
2014,Kensington and Chelsea,1288405.6689166664,14.394864781666664,225.33333333333334,1120782.01175,14.802590160833333,1289905.4975833332,14.503450129166668,1115346.4969166666,14.835420253333332,1471777.7003333333,13.970360456
2014,Kingston upon Thames,406106.38467500004,17.413577681666666,254.83333333333334,297874.18391666666,17.16399843416667,410125.8441666667,17.4562483575,340659.36675,17.596617631666664,443800.17394999997,17.2952405055
